"ring","year","site","sex","Difsite","survival","site_recode","Lrecapture","time_SLC"
"Z632463",2016,"BLG","F",0,1,"BLG",0,1
"Z632463",2017,"BLG","F",0,0,"BLG",0,1
"Z632464",2015,"BLA","M",0,0,"BLA",0,0
"Z632465",2015,"CAL","F",0,1,"CAL",0,0
"Z632465",2016,"CAL","F",0,1,"CAL",0,1
"Z632465",2017,"CAL","F",0,1,"CAL",0,1
"Z632465",2018,"CAL","F",0,0,"CAL",0,1
"Z632466",2015,"STY","F",0,0,"STY",0,0
"Z632474",2015,"EDI","M",0,1,"EDI",0,0
"Z632474",2016,"EDI","M",0,0,"EDI",0,1
"Z632475",2015,"EDI","F",0,0,"EDI",0,0
"Z632476",2015,"GLF","F",0,0,"GLF",0,0
"Z632477",2015,"GLF","M",0,1,"GLF",0,0
"Z632477",2016,"GLF","M",0,1,"GLF",0,1
"Z632477",2018,"GLF","M",0,0,"GLF",1,2
"Z632478",2015,"GLF","F",0,1,"GLF",0,0
"Z632478",2016,"GLF","F",0,1,"GLF",0,1
"Z632478",2017,"GLF","F",0,1,"GLF",0,1
"Z632478",2018,"GLF","F",0,0,"GLF",0,1
"Z632479",2015,"SER","M",0,0,"SER",0,0
"Z632480",2015,"SER","F",0,0,"SER",0,0
"Z632481",2015,"FOF","F",0,0,"FOF",0,0
"Z632482",2015,"FOF","M",0,0,"FOF",0,0
"Z632494",2015,"LVN","F",0,0,"LVN",0,0
"Z632495",2015,"LVN","M",0,1,"LVN",0,0
"Z632495",2016,"LVN","M",0,1,"LVN",0,1
"Z632495",2017,"LVN","M",0,0,"LVN",0,1
"Z632496",2015,"MCH","M",0,0,"MCH",0,0
"Z632497",2015,"MCH","F",0,0,"MCH",0,0
"Z632498",2015,"MCH","M",0,0,"MCH",0,0
"Z632526",2015,"GLF","F",0,0,"GLF",0,0
"Z632527",2015,"GLF","M",0,0,"GLF",0,0
"Z632533",2015,"LVN","F",0,1,"LVN",0,0
"Z632533",2016,"LVN","F",0,1,"LVN",0,1
"Z632533",2017,"LVN","F",0,1,"LVN",0,1
"Z632533",2018,"LVN","F",0,0,"LVN",0,1
"Z632546",2015,"BAD","F",0,1,"BAD",0,0
"Z632546",2016,"BAD","F",0,0,"BAD",0,1
"Z632550",2015,"BAD","F",0,1,"BAD",0,0
"Z632550",2016,"BAD","F",0,0,"BAD",0,1
"Z632551",2015,"BAD","F",0,0,"BAD",0,0
"Z632558",2015,"BAD","F",0,0,"BAD",0,0
"Z632559",2015,"BAD","M",0,0,"BAD",0,0
"Z632561",2015,"SER","F",0,0,"SER",0,0
"Z632562",2015,"PTH","F",0,0,"PTH",0,0
"Z632570",2015,"BIR","M",0,0,"BIR",0,0
"Z632571",2015,"BIR","F",0,1,"BIR",0,0
"Z632571",2016,"BIR","F",0,0,"BIR",0,1
"Z632577",2015,"BLA","M",0,1,"BLA",0,0
"Z632577",2016,"BLA","M",0,1,"BLA",0,1
"Z632577",2018,"BLA","M",0,0,"BLA",1,2
"Z632578",2015,"BLA","F",0,0,"BLA",0,0
"Z632610",2015,"KCZ","F",0,1,"KCK/KCZ",0,0
"Z632610",2016,"KCZ","F",0,0,"KCK/KCZ",0,1
"Z632611",2015,"KCZ","M",0,0,"KCK/KCZ",0,0
"Z632619",2015,"SER","M",0,0,"SER",0,0
"Z632620",2015,"SER","F",0,0,"SER",0,0
"Z632621",2015,"SER","F",0,0,"SER",0,0
"Z632622",2015,"SER","M",0,1,"SER",0,0
"Z632622",2016,"SER","M",0,1,"SER",0,1
"Z632622",2017,"SER","M",0,1,"SER",0,1
"Z632622",2018,"SER","M",0,1,"SER",0,1
"Z632622",2019,"SER","M",0,0,"SER",0,1
"Z632623",2015,"GLF","M",0,0,"GLF",0,0
"Z632624",2015,"GLF","F",0,0,"GLF",0,0
"Z632625",2015,"GLF","M",0,1,"GLF",0,0
"Z632625",2016,"GLF","M",0,0,"GLF",0,1
"Z632626",2015,"EDI","F",0,0,"EDI",0,0
"Z632627",2015,"EDI","M",0,1,"EDI",0,0
"Z632627",2016,"EDI","M",0,1,"EDI",0,1
"Z632627",2017,"EDI","M",0,1,"EDI",0,1
"Z632627",2018,"EDI","M",0,1,"EDI",0,1
"Z632627",2019,"EDI","M",0,0,"EDI",0,1
"Z632628",2015,"FOF","F",0,0,"FOF",0,0
"Z632637",2015,"BAD","M",0,1,"BAD",0,0
"Z632637",2016,"BAD","M",0,0,"BAD",0,1
"Z632638",2015,"BAD","F",0,1,"BAD",0,0
"Z632638",2016,"BAD","F",0,1,"BAD",0,1
"Z632638",2017,"BAD","F",0,1,"BAD",0,1
"Z632638",2018,"BAD","F",0,0,"BAD",0,1
"Z632644",2015,"RSY","M",0,0,"RSY",0,0
"Z632645",2015,"RSY","F",0,0,"RSY",0,0
"Z632652",2015,"PTH","M",0,0,"PTH",0,0
"Z632653",2015,"BIR","F",0,1,"BIR",0,0
"Z632653",2016,"BIR","F",0,1,"BIR",0,1
"Z632653",2017,"BIR","F",0,0,"BIR",0,1
"Z632682",2015,"BLA","F",0,0,"BLA",0,0
"Z632683",2015,"BLA","M",0,1,"BLA",0,0
"Z632683",2016,"BLA","M",0,1,"BLA",0,1
"Z632683",2018,"BLA","M",0,0,"BLA",1,2
"Z632684",2015,"BLA","M",0,0,"BLA",0,0
"Z632685",2015,"DNM","M",0,0,"DNM",0,0
"Z632686",2015,"DNM","F",0,0,"DNM",0,0
"Z632690",2015,"KCK","M",0,0,"KCK/KCZ",0,0
"Z632691",2015,"KCZ","F",0,0,"KCK/KCZ",0,0
"Z632692",2015,"KCZ","M",0,1,"KCK/KCZ",0,0
"Z632692",2016,"KCZ","M",0,0,"KCK/KCZ",0,1
"Z632700",2015,"KCK","F",0,0,"KCK/KCZ",0,0
"Z632713",2015,"AVN","F",0,0,"AVN",0,0
"Z632714",2015,"AVN","M",0,0,"AVN",0,0
"Z632747",2015,"AVI","F",0,1,"AVI",0,0
"Z632747",2017,"AVI","F",0,0,"AVI",1,2
"Z632748",2015,"AVI","M",0,0,"AVI",0,0
"Z632766",2015,"AVN","M",0,0,"AVN",0,0
"Z632767",2015,"AVN","F",0,0,"AVN",0,0
"Z632768",2015,"SLS","M",0,0,"SLS",0,0
"Z632769",2015,"ALN","F",0,0,"ALN",0,0
"Z632770",2015,"ALN","M",0,1,"ALN",0,0
"Z632770",2017,"ALN","M",0,1,"ALN",1,2
"Z632770",2018,"ALN","M",0,0,"ALN",0,1
"Z632792",2015,"CAR","M",0,0,"CAR",0,0
"Z632793",2015,"CAR","F",0,0,"CAR",0,0
"Z632794",2015,"DUN","F",0,1,"DUN",0,0
