"site"	"year"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"
"HWP"	"2017"	"2.13073318753233"	"2.87625628404463"	"2.15027018828898"	"2.24244740704922"	"1.95818512847236"	"2.27273612540101"	"1.79826615151624"	"1.65165106271932"	"2.15458129806602"	"2.4090106538912"	"1.73743081720072"	"1.80773918787637"
"INS"	"2017"	"2.83597709572587"	"3.7557088338013"	"2.86776471291721"	"3.07429532223498"	"2.54637900330795"	"3.01302929666394"	"2.53159891065052"	"2.13490448035292"	"2.6321049513795"	"3.39495456262486"	"2.54000064638083"	"2.49872192336833"
"FSH"	"2017"	"2.4955011400736"	"3.3500841239874"	"2.49349859473031"	"2.64115348918712"	"2.17445607244962"	"2.5394601065727"	"1.9314340817894"	"1.80810332257658"	"2.32189043508551"	"2.87736723585373"	"2.17615118672146"	"2.10694385485822"
"RTH"	"2017"	"2.05312597018953"	"2.59512336299176"	"2.14491896313292"	"2.23026690207312"	"1.84984195308918"	"2.04482053509104"	"1.45950533804013"	"1.44068297665762"	"1.75884591433169"	"2.33700406585911"	"1.86118317965369"	"1.84291033739386"
"AVI"	"2017"	"2.77114057335012"	"2.97963180501386"	"2.94276061792185"	"3.05919793007504"	"2.46839798121341"	"2.65947213352747"	"2.39159706756644"	"2.17089235762983"	"2.2571259705442"	"2.90812913286528"	"2.64689078976676"	"2.75794730113113"
"AVN"	"2017"	"2.36924123691672"	"2.62846382079064"	"2.56863801966715"	"2.62038989996118"	"2.19128159556336"	"2.35995105773913"	"2.04300890885607"	"1.87804046918365"	"2.01609454547617"	"2.45597609304726"	"2.21528169245595"	"2.34693606139116"
"CAR"	"2017"	"3.04504691714958"	"3.30311564482272"	"3.17419116878364"	"3.41108960930713"	"2.67730252856513"	"3.20805241244461"	"2.94943528669701"	"2.62256824315272"	"2.75541373744573"	"3.14262603591223"	"2.98888339142419"	"3.16971842508467"
"SLS"	"2017"	"4.06546602903404"	"4.06959920045229"	"4.19817748007839"	"4.65926393275418"	"3.34477692682132"	"4.10201824988111"	"4.02289262363297"	"3.43848028423583"	"3.1100937289478"	"4.55879981332874"	"4.45749639840908"	"4.57956882811414"
"TOM"	"2017"	"3.10100207196711"	"3.39106374370541"	"3.16277976524259"	"3.50400684858854"	"2.64972345313765"	"3.12193273639006"	"3.12766327587763"	"2.5867269565417"	"2.53095099088843"	"3.41812747172877"	"3.11870943946674"	"3.02846438763817"
"DAV"	"2017"	"3.57968041648535"	"3.5755853587017"	"3.34055091794885"	"4.28050003125648"	"2.84852585090756"	"3.33924309781071"	"3.28938646326421"	"2.76656702393"	"3.02154191450978"	"3.74081292153546"	"3.53410009359733"	"2.89761536726912"
"ART"	"2017"	"4.99966004770964"	"4.75096454061847"	"4.54414896026631"	"5.89525571316851"	"4.04033921225188"	"4.94055676987093"	"4.32480907620263"	"4.11259379747541"	"4.18554820557578"	"5.6372058657429"	"5.48225530022323"	"5.10653067925452"
"MUN"	"2017"	"5.12391319561583"	"4.91553780487364"	"4.55648305844668"	"5.91586399132919"	"4.13921766988155"	"5.02478585352292"	"4.37913838984697"	"4.23376729459894"	"4.47627092511974"	"5.67496169088414"	"5.48174351397653"	"5.06536289949693"
"FOU"	"2017"	"3.28553948354073"	"3.37858797315783"	"3.06758104788814"	"3.84181184699481"	"3.07016237948786"	"3.59071315914389"	"3.21124509029087"	"2.85544363345827"	"3.2367554951412"	"3.74863894561056"	"3.14521200864705"	"3.24127430249581"
"ALN"	"2017"	"3.89742286123259"	"4.09855609570603"	"3.63992585430442"	"4.33587618902325"	"3.55772123124526"	"4.20180179286252"	"3.6900451765603"	"3.28165950756965"	"3.7049665394759"	"4.52597863991896"	"3.96985395137293"	"4.2266503368475"
"DEL"	"2017"	"4.36391305390479"	"4.59820557959193"	"4.060502932756"	"5.02112820204167"	"3.88989627970436"	"4.61854807011833"	"4.04198626545004"	"3.63997790842284"	"4.19904328243592"	"4.95655850733041"	"4.66907647959555"	"4.50003053988623"
"TAI"	"2017"	"3.95775857393829"	"3.94294950673379"	"3.81591665989938"	"4.97280181301666"	"3.75011443027144"	"4.41157682086586"	"3.73599104563612"	"3.58763788632188"	"3.61490994832891"	"4.33308784758185"	"4.16160371838387"	"3.87643187347695"
"SPD"	"2017"	"5.24288077647394"	"5.42970811608796"	"4.7296820939891"	"6.25062803774748"	"4.49570227556789"	"5.39262792443268"	"4.50804698384796"	"4.23615391163264"	"3.96670563029002"	"5.89748437757981"	"6.09796267677972"	"5.89796426702996"
"OSP"	"2017"	"4.22765016820079"	"4.44665031913192"	"4.10672361678492"	"5.3571506835201"	"4.02050596064258"	"4.75391387231594"	"3.94016811019879"	"3.71278590118762"	"3.43516197410123"	"4.84413612966617"	"4.83000953282339"	"4.64109005936391"
"DOR"	"2017"	"5.06195574619679"	"5.15838708205351"	"4.77845997658729"	"6.10925001037399"	"4.58684472385497"	"5.4600135558421"	"4.49924444569019"	"4.44479872324382"	"4.22921597509586"	"5.7014285651684"	"5.70995553462754"	"5.36489967337457"
"EDI"	"2018"	"5.8897668943806"	"5.30085770769183"	"6.57726747812371"	"5.66228121136"	"5.08051086417821"	"4.52709159053156"	"4.27156451369331"	"4.76098208262881"	"6.4348345406665"	"6.28060158197705"	"5.39474587374159"	"4.73037061930003"
"RSY"	"2018"	"5.63871685530454"	"5.02454658910086"	"6.68887180105434"	"5.50271732440862"	"5.10897255987384"	"4.69174741509958"	"4.43283911057125"	"4.40764837452374"	"6.22388907863852"	"5.84187797072746"	"5.44305454796541"	"4.54014899713454"
"FOF"	"2018"	"6.19927258519744"	"5.8178001486918"	"7.49849957961944"	"6.12815230320988"	"5.70378480134825"	"5.10429831267921"	"4.84208986244697"	"4.90210636680917"	"6.94002955479391"	"6.54680580342003"	"6.30415909219943"	"5.13483317982082"
"BAD"	"2018"	"6.20576985358866"	"6.42087101299545"	"7.74339674085581"	"6.35166100495314"	"6.01941699276912"	"5.24721176423002"	"5.01215557649538"	"5.42352007693409"	"7.54635913549699"	"7.10460753219098"	"6.77090863451201"	"5.54969340840796"
"LVN"	"2018"	"4.89882885174094"	"4.73904907875557"	"5.99269404031206"	"4.85877556348465"	"4.63196972387979"	"4.39068545326858"	"4.170172890102"	"4.41197134534928"	"6.08419580060409"	"5.50817670782949"	"5.10179362111442"	"4.30992188159622"
"DOW"	"2018"	"5.16372421984225"	"5.06679254631419"	"6.35550416637987"	"5.16181193711089"	"4.92412974745017"	"4.60074415577338"	"4.35951789321644"	"4.62681225280248"	"6.43620981850038"	"5.84381859448073"	"5.47112851899702"	"4.59506554942159"
"GLF"	"2018"	"4.23909866277278"	"4.27970644921861"	"5.1169426267528"	"4.09966617588202"	"3.84067200865609"	"3.76645222989732"	"3.54360653392656"	"4.22805740202166"	"5.54335932948939"	"4.98864328242261"	"4.29692270423494"	"3.80070841972481"
"SER"	"2018"	"2.9205026957378"	"2.84798129240906"	"3.71836123523426"	"3.0337526686854"	"2.82785859932457"	"2.94803386440346"	"2.74900092810394"	"3.21249126421198"	"4.06872959545538"	"3.38891318404492"	"2.8097345092287"	"2.62105246487907"
"MCH"	"2018"	"4.33179919823209"	"4.36920886648304"	"5.30472263733822"	"4.30688509843405"	"3.94740428481196"	"3.8774898208646"	"3.55476964565569"	"4.38598240352156"	"5.68264578627732"	"5.06535236992338"	"4.32741073364661"	"3.90245519027508"
"PTH"	"2018"	"2.42812103584159"	"2.50909735005225"	"3.32938363420827"	"2.63156106992295"	"2.63307094928089"	"2.66502166297394"	"2.55335716353936"	"2.87693173023845"	"3.64122879514911"	"3.00740358043019"	"2.44005510363494"	"2.18354450572936"
"STY"	"2018"	"2.40424793356382"	"2.56521124803042"	"3.38193251214976"	"2.52148434866012"	"2.71127731833239"	"2.65679353905268"	"2.59474642852268"	"2.79530288639512"	"3.58910029154258"	"3.0653579994953"	"2.48811713491222"	"2.10913340373425"
"BIR"	"2018"	"3.18143888871762"	"3.15323811310205"	"4.15004989115128"	"2.95769747502759"	"3.33434360039627"	"3.22510874926001"	"3.16723858026638"	"3.12777977248914"	"4.21629699928243"	"3.77991583305909"	"3.08243259973235"	"2.62195148511686"
"DUN"	"2018"	"2.61605129871441"	"2.41906652726717"	"3.14541796258576"	"2.33844769729845"	"2.50728561864325"	"2.64195304655336"	"2.59263213807566"	"2.56248769472899"	"3.41862262752663"	"2.97677723365136"	"2.30529954589995"	"2.07094479680499"
"BLG"	"2018"	"3.287905445988"	"3.39391648661477"	"4.2904616014926"	"3.51382334393079"	"3.4287281134786"	"3.16408545299949"	"3.18296843233689"	"3.02010756655848"	"4.3438805386776"	"3.89349056413518"	"3.70530926010991"	"2.83759290987868"
